gene_id	HER2.1	HER2.2	HER2.3	NBS1	NBS2	NBS3	Non.TNBC1	Non.TNBC2	Non.TNBC3	TNBC1	TNBC2	TNBC3
ENSG00000010165	137	370	178	384	213	254	764	355	447	337	99	158
ENSG00000010219	49	67	82	76	71	55	54	62	70	64	16	114
ENSG00000010244	1033	1326	1560	1847	2489	2321	1001	703	800	648	113	426
ENSG00000010256	261	445	447	1858	1122	773	763	887	441	469	154	293
ENSG00000010270	123	92	178	239	296	243	569	126	117	119	42	193
ENSG00000010278	1032	1138	527	4770	4484	4323	2839	1995	1355	1608	432	1468
ENSG00000010282	0	0	0	7	3	0	2	7	6	11	0	21
ENSG00000010292	384	1003	446	291	380	292	537	338	328	1191	312	281
ENSG00000010295	72	21	55	122	130	105	127	67	74	66	26	86
ENSG00000010310	8	3	11	33	50	42	60	19	28	36	0	21
ENSG00000010318	30	28	25	84	38	80	66	64	39	64	13	26
ENSG00000010319	35	20	21	399	1009	1141	60	48	62	45	1	52
ENSG00000010322	321	356	242	1207	1464	1383	455	602	413	326	135	228
ENSG00000010327	538	311	332	356	536	517	716	374	383	446	207	444
ENSG00000010361	30	4	33	316	236	164	116	143	119	97	16	29
ENSG00000010379	2	0	2	11	1	0	5	11	12	27	0	37
ENSG00000010404	76	29	62	109	111	167	139	96	116	28	31	146
ENSG00000010438	0	1	0	3	4	1	3	8	9	21	2	27
ENSG00000010539	88	90	66	74	50	88	136	88	71	66	9	53
ENSG00000010610	496	186	516	383	412	274	543	152	222	444	101	349
ENSG00000010626	19	17	14	156	68	83	36	54	37	29	4	38
ENSG00000010671	88	74	130	45	25	31	100	34	63	92	16	73
ENSG00000010704	41	73	74	159	153	131	101	70	96	110	37	88
ENSG00000010803	194	316	203	706	654	664	548	178	233	281	60	153
ENSG00000010810	462	157	278	289	656	972	186	112	135	228	29	174
ENSG00000010818	403	527	475	1624	4675	11307	359	204	299	220	73	274
ENSG00000010932	62	18	57	102	328	230	61	34	39	20	13	24
